symbol,minCount,maxCount,payout
L1,8,9,0.386446
L1,10,11,0.772892
L1,12,30,1.449173
L2,8,9,0.483058
L2,10,11,0.966115
L2,12,30,1.932230
L3,8,9,0.579669
L3,10,11,1.159338
L3,12,30,2.415288
L4,8,9,0.724586
L4,10,11,1.449173
L4,12,30,3.139874
L5,8,9,0.869504
L5,10,11,1.739007
L5,12,30,3.864460
H1,8,9,1.207644
H1,10,11,2.415288
H1,12,30,4.830575
H2,8,9,1.449173
H2,10,11,2.898345
H2,12,30,6.762806
H3,8,9,1.932230
H3,10,11,4.347518
H3,12,30,9.661151
H4,8,9,2.898345
H4,10,11,6.762806
H4,12,30,15.457841
