symbol,minCount,maxCount,payout
L1,8,9,0.20
L1,10,11,0.40
L1,12,14,0.80
L1,15,19,1.50
L1,20,24,3.00
L1,25,30,8.00
L2,8,9,0.25
L2,10,11,0.50
L2,12,14,1.00
L2,15,19,1.80
L2,20,24,3.50
L2,25,30,9.00
L3,8,9,0.30
L3,10,11,0.60
L3,12,14,1.20
L3,15,19,2.10
L3,20,24,4.00
L3,25,30,10.00
L4,8,9,0.35
L4,10,11,0.70
L4,12,14,1.40
L4,15,19,2.40
L4,20,24,4.50
L4,25,30,12.00
L5,8,9,0.40
L5,10,11,0.80
L5,12,14,1.60
L5,15,19,2.80
L5,20,24,5.00
L5,25,30,14.00
H1,8,9,0.60
H1,10,11,1.20
H1,12,14,2.40
H1,15,19,4.50
H1,20,24,9.00
H1,25,30,25.00
H2,8,9,0.80
H2,10,11,1.60
H2,12,14,3.20
H2,15,19,6.00
H2,20,24,12.00
H2,25,30,35.00
H3,8,9,1.00
H3,10,11,2.00
H3,12,14,4.00
H3,15,19,8.00
H3,20,24,16.00
H3,25,30,45.00
H4,8,9,1.50
H4,10,11,3.00
H4,12,14,6.00
H4,15,19,12.00
H4,20,24,25.00
H4,25,30,75.00
