reel_id,stop,symbol_id
R1,0,K
R1,1,EIGHT
R1,2,COIN
R1,3,J
R1,4,A
R1,5,Q
R1,6,Q
R1,7,J
R1,8,EIGHT
R1,9,K
R1,10,K
R1,11,Q
R1,12,J
R1,13,GEM
R1,14,DRAGON
R1,15,COIN
R1,16,A
R1,17,A
R1,18,COIN
R1,19,Q
R1,20,COIN
R1,21,WILD
R1,22,Q
R1,23,J
R1,24,Q
R1,25,COIN
R1,26,GEM
R1,27,J
R1,28,J
R1,29,EIGHT
R1,30,DRAGON
R1,31,K
R1,32,Q
R1,33,J
R1,34,COIN
R1,35,DRAGON
R1,36,A
R1,37,A
R1,38,A
R1,39,K
R1,40,DRAGON
R1,41,SCATTER
R1,42,GEM
R1,43,K
R1,44,DRAGON
R1,45,GEM
R1,46,EIGHT
R1,47,GEM
R2,0,K
R2,1,Q
R2,2,A
R2,3,GEM
R2,4,K
R2,5,J
R2,6,J
R2,7,J
R2,8,WILD
R2,9,COIN
R2,10,K
R2,11,J
R2,12,K
R2,13,K
R2,14,Q
R2,15,J
R2,16,Q
R2,17,K
R2,18,EIGHT
R2,19,J
R2,20,A
R2,21,SCATTER
R2,22,A
R2,23,Q
R2,24,GEM
R2,25,A
R2,26,K
R2,27,A
R2,28,J
R2,29,COIN
R2,30,Q
R2,31,DRAGON
R2,32,GEM
R2,33,EIGHT
R2,34,A
R2,35,DRAGON
R2,36,COIN
R2,37,COIN
R2,38,DRAGON
R2,39,GEM
R2,40,Q
R2,41,A
R2,42,EIGHT
R2,43,Q
R2,44,GEM
R2,45,GEM
R2,46,DRAGON
R2,47,COIN
R2,48,DRAGON
R2,49,EIGHT
R2,50,WILD
R2,51,COIN
R3,0,DRAGON
R3,1,COIN
R3,2,GEM
R3,3,GEM
R3,4,Q
R3,5,Q
R3,6,J
R3,7,DRAGON
R3,8,A
R3,9,Q
R3,10,A
R3,11,EIGHT
R3,12,Q
R3,13,DRAGON
R3,14,SCATTER
R3,15,EIGHT
R3,16,K
R3,17,K
R3,18,WILD
R3,19,COIN
R3,20,K
R3,21,COIN
R3,22,A
R3,23,K
R3,24,A
R3,25,Q
R3,26,DRAGON
R3,27,GEM
R3,28,K
R3,29,J
R3,30,J
R3,31,A
R3,32,Q
R3,33,K
R3,34,DRAGON
R3,35,Q
R3,36,GEM
R3,37,EIGHT
R3,38,J
R3,39,DRAGON
R3,40,J
R3,41,K
R3,42,Q
R3,43,GEM
R3,44,COIN
R3,45,EIGHT
R3,46,COIN
R3,47,COIN
R3,48,A
R3,49,A
R3,50,WILD
R3,51,J
R3,52,J
R3,53,EIGHT
R3,54,GEM
R3,55,COIN
R4,0,K
R4,1,DRAGON
R4,2,A
R4,3,Q
R4,4,GEM
R4,5,EIGHT
R4,6,A
R4,7,Q
R4,8,COIN
R4,9,GEM
R4,10,EIGHT
R4,11,EIGHT
R4,12,K
R4,13,J
R4,14,GEM
R4,15,COIN
R4,16,EIGHT
R4,17,GEM
R4,18,Q
R4,19,J
R4,20,K
R4,21,K
R4,22,COIN
R4,23,J
R4,24,COIN
R4,25,J
R4,26,A
R4,27,Q
R4,28,WILD
R4,29,J
R4,30,A
R4,31,COIN
R4,32,GEM
R4,33,K
R4,34,Q
R4,35,COIN
R4,36,Q
R4,37,DRAGON
R4,38,K
R4,39,J
R4,40,WILD
R4,41,SCATTER
R4,42,Q
R4,43,DRAGON
R4,44,DRAGON
R4,45,A
R4,46,J
R4,47,A
R4,48,K
R4,49,A
R4,50,DRAGON
R4,51,GEM
R5,0,DRAGON
R5,1,J
R5,2,GEM
R5,3,J
R5,4,SCATTER
R5,5,A
R5,6,A
R5,7,J
R5,8,Q
R5,9,K
R5,10,COIN
R5,11,COIN
R5,12,GEM
R5,13,COIN
R5,14,GEM
R5,15,K
R5,16,GEM
R5,17,Q
R5,18,A
R5,19,A
R5,20,J
R5,21,EIGHT
R5,22,Q
R5,23,J
R5,24,Q
R5,25,J
R5,26,WILD
R5,27,J
R5,28,K
R5,29,A
R5,30,K
R5,31,DRAGON
R5,32,Q
R5,33,K
R5,34,COIN
R5,35,EIGHT
R5,36,COIN
R5,37,Q
R5,38,DRAGON
R5,39,A
R5,40,DRAGON
R5,41,K
R5,42,EIGHT
R5,43,DRAGON
R5,44,COIN
R5,45,EIGHT
R5,46,Q
R5,47,GEM
