reel_id,stop,symbol_id
R1,0,A
R1,1,K
R1,2,Q
R1,3,J
R1,4,A
R1,5,GEM
R1,6,WILD
R1,7,A
R1,8,K
R1,9,Q
R1,10,J
R1,11,A
R1,12,SCATTER
R1,13,GEM
R1,14,A
R1,15,K
R1,16,Q
R1,17,J
R1,18,A
R1,19,K
R1,20,Q
R1,21,J
R1,22,A
R1,23,A
R1,24,A
R1,25,GEM
R1,26,K
R1,27,Q
R1,28,J
R1,29,A
R2,0,K
R2,1,Q
R2,2,J
R2,3,A
R2,4,GEM
R2,5,K
R2,6,WILD
R2,7,K
R2,8,Q
R2,9,J
R2,10,A
R2,11,K
R2,12,SCATTER
R2,13,GEM
R2,14,Q
R2,15,K
R2,16,J
R2,17,A
R2,18,K
R2,19,Q
R2,20,J
R2,21,A
R2,22,K
R2,23,K
R2,24,GEM
R2,25,K
R2,26,Q
R2,27,J
R2,28,A
R2,29,K
R3,0,Q
R3,1,A
R3,2,K
R3,3,J
R3,4,GEM
R3,5,Q
R3,6,WILD
R3,7,Q
R3,8,A
R3,9,K
R3,10,J
R3,11,Q
R3,12,SCATTER
R3,13,GEM
R3,14,A
R3,15,Q
R3,16,K
R3,17,J
R3,18,Q
R3,19,A
R3,20,K
R3,21,J
R3,22,Q
R3,23,WILD
R3,24,GEM
R3,25,Q
R3,26,A
R3,27,K
R3,28,J
R3,29,Q
R4,0,J
R4,1,Q
R4,2,A
R4,3,K
R4,4,GEM
R4,5,J
R4,6,WILD
R4,7,J
R4,8,Q
R4,9,A
R4,10,K
R4,11,J
R4,12,SCATTER
R4,13,GEM
R4,14,Q
R4,15,J
R4,16,A
R4,17,K
R4,18,J
R4,19,Q
R4,20,A
R4,21,K
R4,22,J
R4,23,WILD
R4,24,GEM
R4,25,J
R4,26,Q
R4,27,A
R4,28,K
R4,29,J
R5,0,A
R5,1,Q
R5,2,K
R5,3,J
R5,4,GEM
R5,5,A
R5,6,WILD
R5,7,A
R5,8,Q
R5,9,K
R5,10,J
R5,11,A
R5,12,SCATTER
R5,13,GEM
R5,14,A
R5,15,Q
R5,16,K
R5,17,J
R5,18,A
R5,19,WILD
R5,20,Q
R5,21,K
R5,22,A
R5,23,J
R5,24,GEM
R5,25,A
R5,26,Q
R5,27,K
R5,28,J
R5,29,A
